id,priority,name,category,why,qty,est_price_usd,drawer,dims,confidence,source_url,status,part_no,vendor,tile,line_total,verified
A011,2,"iGaging 3-piece machinist square set (2"", 4"", 6"")",measurement,"No square on hand for checking spoilboard/fence squareness or verifying tram results against a reference edge. [skeptic: Real gap, but it's a one-time setup/tram-verification tool, not something that blocks running the first class per se. Demote from 1 to 2.]",1,40,"Drawer 2 (fitted pocket, largest piece ~6"" x 4"" x 0.5"")",,inferred,https://www.amazon.com/iGaging-3-piece-Engineer-Square-Set/dp/B001UOZBQS,proposed,,,,40,"carried from 2026-09-03 list, not re-verified today"
A012,2,CA glue + activator kit,consumable,Explicitly a Drawer 3 category per the station spec (CA glue) and not on hand; used for tack-gluing thin stock or repairing tear-out before a re-cut.,1,18,Drawer 3 (divided compartment),,inferred,https://www.amazon.com/MITREAPEL-Super-Spray-Adhesive-Activator/dp/B07Y6GV4TW,proposed,,,,18,"carried from 2026-09-03 list, not re-verified today"
A013,2,Mini woodworking deburring scraper (carbide insert),finishing,"No deburring/edge tool on hand; needed to clean up melted acrylic strings and ply tear-out edges before parts leave the shop — a routine hand-off step, not optional for student-facing work.",1,15,D2 (HAVE T064),,inferred,https://www.amazon.com/Woodworking-Deburring-CDIYTOOL-Aluminum-Degumming/dp/B08XW2H7J5,owned,,,D2,0,owned per Jared 2026-09-11; now HAVE T064
A014,3,Stingray Vinyl Cutter (drag-knife style),cutter — drag knife,"Closest Carbide 3D equivalent to a drag knife — collet-mounted, spring-loaded blade for vinyl/cardstock/gasket material. Optional: only worth it if the program does vinyl or sign work; flagging per the brief's ""drag knife?"" prompt rather than as a core need.",1,45,"Drawer 1 (fitted pocket, ~1"" dia body x 3"" length, per listing)",,"verified (seen listed on the accessories collection page, fetched directly)",https://shop.carbide3d.com/collections/accessories,proposed,,,A,45,"carried from 2026-09-03 list, not re-verified today"
A015,3,"Amana Tool 46327 — 1/4"" O-flute single-flute upcut, acrylic/HDPE",cutter — plastics,"Companion to the downcut O-flute above; upcut clears chips better on thicker HDPE/acrylic sheet where a downcut can pack the flute and melt. [skeptic: Companion to the downcut O-flute, not independently urgent — a class can run acrylic on the downcut alone for a while. Demote from priority 2.]",1,26,"Drawer 1 (fitted pocket, 1/4"" dia x ~2-1/2"" OAL, 3/4"" cutting height)",,inferred,https://www.amanatool.com/46327-solid-carbide-slow-spiral-o-flute-acrylic-cutting-1-4-dia-x-3-4-inch-x-1-4-shank-up-cut-single-flute-router-bit.html,struck,46327,,,0,"struck 2026-09-11: 46327 never verified; replaced by A033 (AMS-195-K, verified at Carbide 3D)"
A016,3,ER-16 Collet and Nut — 8mm,collet,"Current coverage (1/8, 1/4, 3/8) handles nearly everything US-sourced. Carbide 3D's own ER-16 line tops out its metric option at 8mm — it does NOT sell a 6mm ER-16 collet. If 6mm-shank bits (common on some import/Euro cutters) ever show up, source a generic ER-16 6mm collet from a machinist supplier rather than Carbide 3D. Recommending the 8mm as the one real metric gap in the official line. [skeptic: Verified real: Carbide3D sells 8mm ER-16 collet/nut at $25 (matches claim exactly), and on-hand set (1/8, 1/4, 3/8) genuinely has no metric option. But page shows 'Unavailable' right now, and no 8mm-shank bits are owned or planned — speculative, not before-first-class.]",1,25,Drawer 1 (collet pocket),,"verified (fetched directly — sizes are .125"", .25"", .375"", 8mm; no 6mm listed)",https://shop.carbide3d.com/products/er-16-collet-and-nut,struck,COLLET-ER16-8MM,Carbide 3D,,0,struck 2026-09-11: the 8 mm is inside the A025 metric set
A017,3,Shapeoko 5 Pro Homing Switch (spare),spare part,"Community threads (multiple, independent) identify limit/homing switches as a recurring failure and wiring point on Shapeoko Pro machines. A spare on the shelf turns a multi-day support-ticket wait into a same-day swap for a shop that can't afford downtime during a class period. [skeptic: Price verified exact at $12. Cheap, sensible shelf spare, but only matters after a failure — doesn't block first class running. Demote from 2 to 3.]",2,12,"Drawer 2 (fitted pocket, ~1"" x 0.75"" x 0.5"")",,"verified (fetched directly); failure-pattern claim inferred from multiple community thread titles, e.g. https://community.carbide3d.com/t/replacing-x-limit-switch/36436",https://shop.carbide3d.com/products/shapeoko-5-pro-homing-switch,proposed,,,,24,"carried from 2026-09-03 list, not re-verified today"
A018,3,Machinable Fixturing Wax,workholding,Temporary hold-down for small or oddly-shaped parts that can't be clamped without fouling the toolpath — a real gap since nothing on hand covers non-clamp workholding.,1,10,Drawer 3 (divided compartment),,verified,https://shop.carbide3d.com/collections/workholding,proposed,,,,10,"carried from 2026-09-03 list, not re-verified today"
A019,3,Action camera (model TBD),camera — spindle mount,"Placeholder, ruled 2026-09-03: the Z-plate camera mount is deferred to after the first cut, magnetic fallback. This row exists so the drawer-2 foam pocket has a tool-list row the day the camera is chosen. Fill dims from the datasheet when the model lands.",1,180,"D2 (foam pocket, block, MEASURE)",,placeholder,,deferred,,,,180,"carried from 2026-09-03 list, not re-verified today"
A020,1,"Carbide 3D #502 PCB Engraver, 40 deg included / 20 deg taper (Qty 2)",cutter - engraver (tray labels),"The tray labels: the brief's label fix wants a narrow V (its '30 deg' is the #501's taper angle; the #501 is 60 deg included). The #502 at 40 deg included is the narrowest Carbide 3D sells: 3.5 mm deep reads a 2.5 mm groove, through the black cap into white. Also the 1/8 row's reserved #502 bore.",1,40,"D1 Tile A, 1/8 row",1/8 shank,"verified (Carbide 3D shop JSON 2026-09-11: C3D502, $40, in stock; spec table: taper 20 deg, included 40 deg)",https://shop.carbide3d.com/products/502-engraving-bit,proposed,C3D502,Carbide 3D,A,40,2026-09-11 shop JSON title + spec
A021,1,"SpeTool W01015 tapered ball nose, 1/32in R, 5.38 deg, 1/4 shank, 2-1/2in OAL (ZrN)",cutter - 3D carving,The brief's tapered ball for 3D relief: 63.5 OAL stands in the 1/4 row.,1,25.49,"D1 Tile A, 1/4 row","1/4 shank, 63.5 OAL","verified (spetools.com page title + price fetched 2026-09-11, in stock)",https://spetools.com/products/spetool-w01015-2d-3d-carving-engraving-tapered-ball-nose-router-bit-radius-1-32-inch-1-4-shank,proposed,W01015,SpeTool,A,25.49,"2026-09-11 title matches, $25.49, in stock"
A022,2,"SpeTool W01004 tapered ball nose 1.0 mm R, 1/8 shank, 1-1/2in OAL, TiAlN (5-pack)","cutter - 3D carving, fine","The brief reserves a 1/8 tapered-ball bore for fine relief. One in the bore, four sealed as spares on Tile B.",1,33.99,"D1 Tile A, 1/8 row (1 bore) + Tile B spares","1/8 shank, 38.1 OAL","verified (spetools.com page title + price fetched 2026-09-11, in stock)",https://spetools.com/products/spetool-w01004-2d-3d-carving-engraving-tapered-ball-nose-router-bit-radius-1mm-1-8-shank,proposed,W01004,SpeTool,A,33.99,"2026-09-11 title matches, $33.99 per 5"
A023,1,"Amana AMS-119 CNC 3-pc starter pack for Shapeoko: RC-1148 60 deg insert V, 46202-K 1/4 downcut, 46200-K 1/8 downcut",cutter - pack,"Three of the brief's reserved bores in one verified Carbide 3D order: the 1/8 downcut (46200-K, 1/4 shank), the RC-1148 insert V for the wide row, and a second 1/4 downcut beside the #251.",1,125.59,"D1 Tile A: wide row (RC-1148), 1/4 row x2",1/4 shanks,"verified (Carbide 3D shop JSON 2026-09-11: AMANA-AMS-119, $125.59, in stock; contents from the listing)",https://shop.carbide3d.com/products/amana-ams-119-cnc-3-pc-starter-pack-for-shapeoko,proposed,AMS-119,Amana via Carbide 3D,A,125.59,2026-09-11 shop JSON title + contents
A024,1,"Amana 51377 solid carbide spiral O single flute, aluminum cutting, 1/4 D x 3/4 CH x 1/4 shank x 2in",cutter - aluminum,The brief's aluminum single-flute O-flute. Carbide 3D's own #278Z is sold out (shop JSON 2026-09-11); 51377 is Amana's aluminum-rated 1/4 single flute.,1,53.14,"D1 Tile A, 1/4 row","1/4 shank, 50.8 OAL",verified (General Cutting Tools page title + price fetched 2026-09-11),https://generalcuttingtools.com/product/amana-51377/,proposed,51377,Amana via General Cutting Tools,A,53.14,"2026-09-11 title matches, $53.14 sale"
A025,1,"MariTool ER-16 collet set, 10 pc metric 1-10 mm by 1 mm",collet,"The brief's full ER-16 metric set: fills 10 of the 11 reserved collet bores on Tile B (the 8 mm is in the set, so A016 is struck).",1,176.85,"D1 Tile B, collet bores","ER-16 DIN 6499, 17 OD x 27.5","verified (maritool.com page title + price fetched 2026-09-11, in stock)",https://www.maritool.com/Collets-ER-Collets-ER-Collet-Sets/c21_56_22/p29/ER-16-COLLET-10-PIECE-METRIC-SET/product_info.html,proposed,ER16-10PIECE,MariTool,B,176.85,"2026-09-11 title matches, $176.85, in stock"
A026,1,"Carbide 3D #201 .25in Flat Cutter, spare 2-pack",cutter - spares,Highest-wear cutter; sealed spares stay in their tube in a captured pocket on Tile B so the count reads from the drawer.,1,45,"D1 Tile B, spares pocket (sealed)","1/4 shank, 63.5 OAL","verified (Carbide 3D shop JSON 2026-09-11: C3D201, $45, in stock)",https://shop.carbide3d.com/products/201-25-end-mill-cutter,proposed,C3D201,Carbide 3D,B,45,2026-09-11 shop JSON
A027,1,"Carbide 3D #102 .125in Flat Cutter, spare 3-pack",cutter - spares,The tray's own pocketing cutter and the small-work workhorse; sealed spares on Tile B.,1,35,"D1 Tile B, spares pocket (sealed)","1/8 shank, 38.1 OAL","verified (Carbide 3D shop JSON 2026-09-11: C3D102, $35, in stock)",https://shop.carbide3d.com/products/102-125-end-mill-cutter,proposed,C3D102,Carbide 3D,B,35,2026-09-11 shop JSON
A028,1,"FastCap Kaizen Foam 30 mm B/W (black over white), 2 x 4 ft sheet",tray build - foam blank,"The tray blanks. Four tiles (271x150, 271x314, 271x464 x2) nest on one sheet; the second is the test-cut offcut and the Tile A recut; the third is the spare the v8 BOM already carried (qty 3 there). Out of stock at fastcap.com on 2026-09-11.",3,47.29,tray build (not stored),"609.6 x 1219.2 x 30, black cap about 3.2","verified (fastcap.com product JSON 2026-09-11: KAIZEN FOAM 30MM B/W, $47.29/sheet, InStock false)",https://www.fastcap.com/product/kaizen-foam,proposed,KAIZEN FOAM 30MM B/W,FastCap,-,141.87,2026-09-11 title + price; OUT OF STOCK at fastcap.com
A029,3,Amana 46172 compression spiral 3/8 D x 1-1/4 CH x 3/8 shank x 3in,"cutter - sheet goods, 3/8",The only reason the 3/8 collet exists. 76 OAL is too long to stand: lies in a captured pocket on Tile B.,1,95.7,"D1 Tile B, captured pocket (lying)","3/8 shank, 76.2 OAL",verified (burnstools.com page title + price fetched 2026-09-11; ships direct from Amana),https://www.burnstools.com/46172-sc-compression-3-8-dia,proposed,46172,Amana via Burns Tools,B,95.7,"2026-09-11 title matches, $95.70"
A030,3,"Carbide 3D #501 PCB Engraver, 60 deg included / 30 deg taper (Qty 2)",cutter - engraver,The brief's reserved #501 bore: PCB and fine V-detail. Not the label cutter (see A020).,1,40,"D1 Tile A, 1/8 row",1/8 shank,"verified (Carbide 3D shop JSON 2026-09-11: C3D501, $40, in stock; spec table: taper 30 deg, included 60 deg)",https://shop.carbide3d.com/products/501-engraving-bit,proposed,C3D501,Carbide 3D,A,40,2026-09-11 shop JSON title + spec
A031,3,Carbide 3D #112 .0625in Flat Cutter (Qty 3),cutter - fine,Reserved 1/8-row bore in the brief.,1,35,"D1 Tile A, 1/8 row",1/8 shank,"verified (Carbide 3D shop JSON 2026-09-11: C3D112, $35, in stock)",https://shop.carbide3d.com/products/112-0625-end-mill-cutter,proposed,C3D112,Carbide 3D,A,35,2026-09-11 shop JSON
A032,3,Carbide 3D #122 .0312in Flat Cutter (Qty 3),cutter - fine,Reserved 1/8-row bore in the brief.,1,42,"D1 Tile A, 1/8 row",1/8 shank,"verified (Carbide 3D shop JSON 2026-09-11: C3D122, $42, in stock)",https://shop.carbide3d.com/products/122-0312-end-mill-cutter,proposed,C3D122,Carbide 3D,A,42,2026-09-11 shop JSON
A033,2,Amana AMS-195-K 2-pc plastic cutting pack: 51404-K 1/4 and 51411-K 1/8 single-flute up-cut O-flutes,cutter - plastics pack,The brief reserves a 51404 bore; the pack adds its 1/8 sibling. Replaces the unverified A015.,1,86.81,"D1 Tile A: 1/4 row (51404-K), 1/8 row (51411-K)",1/4 and 1/8 shanks,"verified (Carbide 3D shop JSON 2026-09-11: AMANA-AMS-195-K, $86.81, in stock; contents from the listing)",https://shop.carbide3d.com/products/ams-195-k-2-pc-cnc-plastic-cutting-pack,proposed,AMS-195-K,Amana via Carbide 3D,A,86.81,2026-09-11 shop JSON title + contents
